time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/approx_kl,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/value_loss,rollout/ep_len_mean,train/loss,train/learning_rate,train/entropy_loss
45,509952,11104,996,0.00024199777,-61.13656597999999,0.2,0.0,-0.002044114051386714,0.7678485065698624,0.9233851432800293,9950,58.40932450294495,770.49,29.588088989257812,0.0001,-4.006266641616821
45,510464,11113,997,3.277196e-05,-60.11695812999999,0.2,0.0,-0.00013371054083108903,0.47002923488616943,0.9234237670898438,9960,21.746088361740114,770.49,7.795029163360596,0.0001,-4.006295514106751
45,510976,11122,998,6.878027e-05,-60.141572460000006,0.2,0.0,-0.00022667927405564114,0.6847591996192932,0.9234761595726013,9970,10.136741936206818,770.62,3.995438814163208,0.0001,-4.006445562839508
45,511488,11131,999,6.4108404e-05,-60.141572460000006,0.2,0.0,-0.00026123181451112034,0.8370046019554138,0.9234344363212585,9980,83.37096996307373,770.62,42.19197463989258,0.0001,-4.006451451778412
45,512000,11141,1000,0.00020030304,-59.563341169999994,0.2,0.0,-0.0006093600066378712,0.7359428107738495,0.9233885407447815,9990,8.30195585489273,770.62,3.2559542655944824,0.0001,-4.006333327293396
45,512512,11150,1001,0.00024921924,-59.563341169999994,0.2,0.0,-0.0010813150205649436,0.7897572666406631,0.9233992695808411,10000,4.48586927652359,770.62,2.13169527053833,0.0001,-4.006250131130218
45,513024,11159,1002,0.006233122,-61.05660599,0.2,0.0861328125,-0.007474865205585957,-0.9499166011810303,0.9233851432800293,10010,0.22141055576503277,764.17,0.11023156344890594,0.0001,-4.006311368942261
45,513536,11168,1003,0.00017372612,-61.05660599,0.2,0.0,-0.000728076754603535,0.7946379333734512,0.9230576157569885,10020,110.23246784210205,764.17,37.82413864135742,0.0001,-4.004359185695648
45,514048,11178,1004,8.417759e-06,-60.17497539,0.2,0.0,-8.172391098923982e-05,0.44198018312454224,0.923046886920929,10030,7.248415863513946,765.6,1.9616377353668213,0.0001,-4.003946042060852
45,514560,11187,1005,0.00046427955,-60.17497539,0.2,0.0,-0.0018121375469490886,-0.9422086477279663,0.9230875968933105,10040,9.377555757761002,765.6,2.725188732147217,0.0001,-4.00399614572525
46,515072,11196,1006,0.0009616348,-59.39760098,0.2,0.0,-0.0018184990738518536,0.06680786609649658,0.9234187006950378,10050,4.672156250476837,769.32,5.059669494628906,0.0001,-4.004494404792785
