time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss
1047,1688,1052.78,-0.8196119900000002,1769472,27,0.18,0.007602143,20.385292053222656,0.7167907953262329,0.0003,0.8940343484282494,260,-0.00018693336619435286,0.123291015625,-4.353509816015139,25.471781698366975
1087,1687,1159.03,19.471501350000004,1835008,28,0.18,0.009071787,2.8692800998687744,0.7082746028900146,0.0003,0.87918721139431,270,-6.557098813573248e-05,0.1372528076171875,-4.297652392555028,22.966307453802436
1127,1686,1189.56,26.57744169,1900544,29,0.18,0.008207749,1.8241639137268066,0.7042251229286194,0.0003,0.8861213698983192,280,0.00045604397239458195,0.133123779296875,-4.259180553164333,19.364688485345688
1167,1684,1266.83,40.76881666,1966080,30,0.18,0.00872796,0.5393245220184326,0.6954787969589233,0.0003,0.8981189355254173,290,-0.0004537112736670679,0.139117431640625,-4.218398696929216,20.4040406796179
1205,1685,1385.42,66.97410426,2031616,31,0.18,0.007971331,0.3789565861225128,0.685742199420929,0.0003,0.8536153137683868,300,-0.0005106811516384369,0.1335357666015625,-4.158034629514441,13.907496733995504
1243,1686,1363.21,69.27976464999999,2097152,32,0.18,0.009144744,24.06291389465332,0.6766968965530396,0.0003,0.8585166037082672,310,-0.0007047132656907706,0.13325653076171876,-4.112415897008032,13.094897327263606
1283,1684,1344.67,74.64873929,2162688,33,0.18,0.008779278,0.5138368010520935,0.6663190126419067,0.0003,0.8860348910093307,320,-0.0006797224854835804,0.13937835693359374,-4.060118189826608,13.9198628041544
1325,1681,1396.9,90.60011696000001,2228224,34,0.18,0.009196376,0.3357425332069397,0.657469630241394,0.0003,0.8581658750772476,330,-0.0014950395642927105,0.1399261474609375,-3.9904514914611355,10.32465045589488
1364,1681,1392.69,100.67094242999998,2293760,35,0.18,0.008947164,0.43974608182907104,0.6487127542495728,0.0003,0.8705952167510986,340,-0.003155150507473081,0.1420440673828125,-3.939537106221542,4.6524517243320584
1403,1681,1342.99,98.06469369,2359296,36,0.18,0.009058811,0.578683614730835,0.640495777130127,0.0003,0.8994729667901993,350,-0.001430679108852928,0.14193115234375,-3.8902366824448107,9.959447019465733
1442,1680,1309.65,101.02556623999999,2424832,37,0.18,0.0100777745,0.8729945421218872,0.6302940845489502,0.0003,0.8864758759737015,360,-0.0007530038204549783,0.15654754638671875,-3.829733942798339,17.974657759492402
1481,1680,1364.49,123.98040911,2490368,38,0.18,0.00891803,3.315487861633301,0.6222443580627441,0.0003,0.8318933993577957,370,-0.0010877596473164886,0.15336456298828124,-3.7901571007678285,19.68846040441422
1527,1673,1270.86,116.06764624000002,2555904,39,0.18,0.00975216,1.899489164352417,0.6105332374572754,0.0003,0.8530798256397247,380,-0.0008967768492084361,0.15390777587890625,-3.713206770434044,16.749891837040195
1566,1673,1228.26,115.16478222000002,2621440,40,0.18,0.010385753,1.6519707441329956,0.6054782867431641,0.0003,0.8736189752817154,390,0.0007980523601872847,0.15929718017578126,-3.6559248181292787,26.29763253420533
1603,1675,1329.42,143.73968657,2686976,41,0.18,0.009802305,22.707426071166992,0.595316469669342,0.0003,0.8728079348802567,400,0.00018714296884354554,0.15633392333984375,-3.613740794197656,14.398174071824178
1639,1679,1405.82,164.17950958999998,2752512,42,0.18,0.010400627,42.43012237548828,0.5843423008918762,0.0003,0.842329204082489,410,-0.00038010971752555633,0.16032867431640624,-3.5354736346518623,20.733063752626187
1677,1680,1354.32,161.72263483,2818048,43,0.18,0.009768983,0.6004812717437744,0.5776259899139404,0.0003,0.8565196841955185,420,-0.00018232073230137758,0.16463165283203124,-3.4766596638131886,16.04665309264965
1713,1682,1322.07,163.97661793999998,2883584,44,0.18,0.010789783,1.7246441841125488,0.5717449188232422,0.0003,0.863744854927063,430,0.0006651620768025168,0.1665435791015625,-3.435883083567023,21.765649873600342
1750,1684,1330.2,172.28136617999996,2949120,45,0.18,0.01069637,3.8874714374542236,0.5629596710205078,0.0003,0.835460901260376,440,0.00016081748178748968,0.17455596923828126,-3.3830484428908676,22.164262730738848
1792,1681,1247.56,156.53070459999998,3014656,46,0.18,0.010906865,57.498199462890625,0.5571727752685547,0.0003,0.8608933389186859,450,0.0008951002504090866,0.17302093505859376,-3.3226760703371836,25.40108826729702
1855,1660,1271.62,173.73352843,3080192,47,0.18,0.013817858,13.830045700073242,0.5515381097793579,0.0003,0.8582213670015335,460,0.001395019127426167,0.1834747314453125,-3.298090375564061,45.992018967831974
1915,1642,1376.05,210.03546339000002,3145728,48,0.18,0.011429643,20.625019073486328,0.5490114092826843,0.0003,0.8120200783014297,470,0.0016501626864055651,0.18386383056640626,-3.2589618619764225,31.672198212647345
1974,1626,1428.41,229.91566885,3211264,49,0.18,0.0098984,0.46164342761039734,0.5399677753448486,0.0003,0.7955321073532104,480,0.0006253784217278735,0.17490234375,-3.210524821607396,17.302625356469072
2032,1612,1444.19,244.24073077,3276800,50,0.18,0.010869342,0.749142050743103,0.5328129529953003,0.0003,0.7203805446624756,490,0.0008532324951602277,0.17136383056640625,-3.1545672704232857,17.752339838596527
2089,1599,1351.17,229.83281079,3342336,51,0.18,0.011527313,29.776283264160156,0.5248624086380005,0.0003,0.7841354310512543,500,0.000989745837978262,0.17873992919921874,-3.09504550404381,21.89809193853871
2148,1586,1316.83,223.80526462999998,3407872,52,0.18,0.012293059,1.4049841165542603,0.520524263381958,0.0003,0.7731512784957886,510,0.0018219212108760985,0.18574676513671876,-3.067654694081284,29.952312407112913
2205,1574,1220.15,200.21979646,3473408,53,0.18,0.012047358,3.555075168609619,0.5160582065582275,0.0003,0.8173907995223999,520,0.0020895662505608925,0.18606414794921874,-3.037812017183751,36.69463070703787
2263,1563,1173.28,193.56778208,3538944,54,0.18,0.013720093,1.3477694988250732,0.511310338973999,0.0003,0.8266070485115051,530,0.0030073057878325926,0.2036895751953125,-2.992027140944265,48.42641022214666
2322,1552,1268.48,224.920873,3604480,55,0.18,0.012498364,6.81746768951416,0.5085116624832153,0.0003,0.7684941738843918,540,0.0023498424363197047,0.19804534912109376,-2.963960920460522,50.63970551270177
2380,1541,1279.61,227.74062489000005,3670016,56,0.18,0.012266858,8.678622245788574,0.5044398903846741,0.0003,0.7609797716140747,550,0.00240581247260252,0.19609375,-2.9378466294612737,43.213596664991925
2438,1531,1278.21,231.43555547999998,3735552,57,0.18,0.010366773,11.224828720092773,0.5013477206230164,0.0003,0.7691885381937027,560,0.0025290571930327134,0.1921844482421875,-2.904776321724057,48.27657867622911
2496,1522,1292.15,241.21816209,3801088,58,0.18,0.01207504,1.1665301322937012,0.49728870391845703,0.0003,0.7602026611566544,570,0.002315302218630677,0.20009918212890626,-2.8733835223829374,41.54747884884709
2556,1512,1280.65,240.57930968999997,3866624,59,0.18,0.011970119,28.592315673828125,0.4964142441749573,0.0003,0.7393505573272705,580,0.0027599382756307023,0.186468505859375,-2.8675603355281054,43.70865762975882
2623,1498,1302.56,248.91849102999996,3932160,60,0.18,0.011809052,40.650875091552734,0.4922180771827698,0.0003,0.7281444370746613,590,0.002316293451212914,0.1943634033203125,-2.8376273020869123,38.06689784748596
2681,1490,1321.33,255.53194069999998,3997696,61,0.18,0.012760764,15.657036781311035,0.4892733693122864,0.0003,0.6278949081897736,600,0.001895792909363081,0.18947601318359375,-2.7993978444254024,42.74738957043737
2741,1482,1315.52,255.14642531,4063232,62,0.18,0.012431342,1.9192712306976318,0.48800432682037354,0.0003,0.6621654033660889,610,0.0022229806457744416,0.19309539794921876,-2.789921201672405,41.30478165319655
2799,1474,1281.53,247.87164059000003,4128768,63,0.18,0.011797506,53.68386459350586,0.48532384634017944,0.0003,0.6173596382141113,620,0.0022987052872849743,0.1893402099609375,-2.766747404029593,48.872168329835404
