time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/std,train/loss,train/approx_kl
2716,61,166400,325,0.1787109375,0.2,0.0002,7.952657714486122,3240,160.76115406,-3.6856296598911285,1000.0,-0.009490431542508304,0.9563993103802204,0.8392055034637451,0.6818294525146484,0.019638244
2724,61,166912,326,0.278125,0.2,0.0002,10.762689220905305,3250,160.76115406,-3.684543699026108,1000.0,0.012774433381855488,0.9723278600722551,0.8390325903892517,1.7900879383087158,0.056573536
2732,61,167424,327,0.221484375,0.2,0.0002,33.56662876605988,3260,165.15043327,-3.684539830684662,1000.0,0.008414954831823706,0.8765108957886696,0.8391687273979187,6.658198356628418,0.03000591
2740,61,167936,328,0.468359375,0.2,0.0002,49.960397481918335,3270,165.15043327,-3.6848134458065034,1000.0,0.037790231476537886,0.5817430913448334,0.8391673564910889,14.05589485168457,0.04585717
2748,61,168448,329,0.334765625,0.2,0.0002,35.31418688297272,3280,171.51028458999997,-3.6846805095672606,1000.0,0.011954672052524984,0.884553387761116,0.8390977382659912,4.54724645614624,0.053114165
2756,61,168960,330,0.293359375,0.2,0.0002,11.885072529315948,3290,171.51028458999997,-3.684370493888855,1000.0,-0.004533677222207188,0.9493668265640736,0.8389358520507812,1.4908980131149292,0.03658089
2764,61,169472,331,0.294921875,0.2,0.0002,1.932664804160595,3300,174.12638553,-3.682360976934433,1000.0,0.00790190016850829,0.7344251573085785,0.837709903717041,0.16881163418293,0.027382435
2773,61,169984,332,0.4287109375,0.2,0.0002,13.088755583763122,3310,174.12638553,-3.677782875299454,1000.0,0.022759234067052603,0.9184280633926392,0.837026059627533,2.772023916244507,0.047858078
2781,61,170496,333,0.29609375,0.2,0.0002,121.07297534942627,3320,180.44066894,-3.67714546918869,1000.0,-0.005709995841607451,0.7199819684028625,0.8369428515434265,33.598148345947266,0.042505346
2789,61,171008,334,0.2310546875,0.2,0.0002,12.871116018295288,3330,185.43727012,-3.676993155479431,1000.0,-0.00308213671669364,0.9099613800644875,0.8369747996330261,2.982821464538574,0.025176926
2797,61,171520,335,0.3873046875,0.2,0.0002,16.324168819189072,3340,185.43727012,-3.6772054076194762,1000.0,0.02441950305365026,0.9433473274111748,0.8370196223258972,2.4050726890563965,0.0362854
2805,61,172032,336,0.36640625,0.2,0.0002,25.99826157093048,3350,188.29792021999998,-3.6773830235004423,999.02,0.009572869236581027,0.619983971118927,0.8370819091796875,5.00105094909668,0.053867806
2813,61,172544,337,0.4626953125,0.2,0.0002,182.06441640853882,3360,188.29792021999998,-3.6780507028102876,999.02,0.12668780400417745,0.4835839867591858,0.8377368450164795,11.340972900390625,0.25953668
2821,61,173056,338,0.454296875,0.2,0.0002,45.937498044967654,3370,195.89118664999998,-3.6805428683757784,999.02,0.02951665928121656,-0.07320821285247803,0.8379629850387573,6.915003776550293,0.09232499
