time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance
60,38,1283,486.92,77824,486.92,0.0029891906,0.00025475536323824597,-0.01147441565990448,0.0003,370,-0.37153481096029284,-0.0018300050316611305,0.2,0.0265625,-0.17231130599975586
62,39,1282,494.9,79872,494.9,0.002382091,0.00017301339714776988,-0.004789430648088455,0.0003,380,-0.3701826771721244,-0.001287193964526523,0.2,0.033837890625,-0.15884506702423096
63,40,1281,500.0,81920,500.0,0.0048760874,0.0001044885692635944,0.03449065610766411,0.0003,390,-0.3561277546919882,-0.0016718490769562777,0.2,0.0521484375,-0.15385568141937256
65,41,1281,500.0,83968,500.0,0.0034360788,8.790836962191406e-05,-0.0019905504304915667,0.0003,400,-0.3644343028776348,-0.0012036395914037713,0.2,0.0294921875,-0.07318031787872314
67,42,1280,500.0,86016,500.0,0.0023987915,5.3145303863288976e-05,-0.0037452364340424538,0.0003,410,-0.3451218386180699,-0.000552738851547474,0.2,0.01748046875,-0.4568512439727783
68,43,1280,500.0,88064,500.0,0.0044715963,5.148879661476258e-05,-0.002180784475058317,0.0003,420,-0.322039270401001,-0.004633313963859109,0.2,0.053515625,-0.286918044090271
70,44,1279,500.0,90112,500.0,0.0011816157,4.1485419342279786e-05,-0.00042048993054777384,0.0003,430,-0.31736245271749797,-0.0006247459314181469,0.2,0.0205078125,-0.5021997690200806
72,45,1279,500.0,92160,500.0,0.004679338,3.239745595635668e-05,-0.009084249846637249,0.0003,440,-0.3072693439666182,-0.002403989738741075,0.2,0.044189453125,-0.4363088607788086
73,46,1279,500.0,94208,500.0,0.0022458015,1.6355982066329488e-05,0.0023245252668857574,0.0003,450,-0.31199330533854663,-0.0013721770359552466,0.2,0.044970703125,-0.8725647926330566
75,47,1279,500.0,96256,500.0,0.003834921,1.5247400358475716e-05,-0.005736852530390024,0.0003,460,-0.305333486944437,-0.0030034107534447686,0.2,0.055859375,-1.1239981651306152
76,48,1279,500.0,98304,500.0,0.0046303915,1.0906909159302813e-05,-0.014761198312044144,0.0003,470,-0.3110349226742983,-0.003198313559551025,0.2,0.046826171875,-0.9121251106262207
78,49,1279,500.0,100352,500.0,0.0015899303,1.5042421452449162e-05,-0.0029862788505852222,0.0003,480,-0.3079945531208068,-0.00046160309793776835,0.2,0.021142578125,-2.1286582946777344
