time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/explained_variance
549,-9.45496476,151552,1139.13,275,74,0.40482232784852384,0.014445053,0.15986328125,-4.06420633494854,730,0.0003,0.2,0.17820116877555847,-0.012759632797678933,0.6650068163871765,0.8511917442083359
549,-6.892704240000001,153600,1139.13,279,75,3.533519519586116,0.0095372535,0.128662109375,-4.024453170597553,740,0.0003,0.2,0.6235988736152649,-0.010585997247835622,0.6631040573120117,0.9100217148661613
550,-3.791431940000002,155648,1142.35,282,76,0.4124678389634937,0.012871685,0.131640625,-4.0154274076223375,750,0.0003,0.2,0.15828533470630646,-0.009853482901235111,0.6618309020996094,0.8006419092416763
550,1.7754767399999989,157696,1142.35,286,77,3.5950954717583956,0.012805463,0.137939453125,-3.9958450973033903,760,0.0003,0.2,3.936863899230957,-0.008357609604718163,0.6567481756210327,0.8847318440675735
549,4.652633839999999,159744,1142.35,290,78,0.8502313286066056,0.010205023,0.13779296875,-3.949365373700857,770,0.0003,0.2,0.3699159026145935,-0.010633172666712199,0.6475657224655151,0.6781255304813385
549,7.02284627,161792,1127.64,294,79,0.42758182235993447,0.014279123,0.169921875,-3.874699553102255,780,0.0003,0.2,0.1976451277732849,-0.013338958114036358,0.63527911901474,0.8452010452747345
548,9.847279750000002,163840,1127.64,298,80,2.5642682732082904,0.010740585,0.131005859375,-3.8307991325855255,790,0.0003,0.2,3.1953678131103516,-0.012414929014630616,0.6322406530380249,0.9424300603568554
549,15.76935847,165888,1143.02,302,81,0.5355783956125378,0.013479548,0.15673828125,-3.8007082559168337,800,0.0003,0.2,0.26015883684158325,-0.01391493276169058,0.6257332563400269,0.6589490473270416
548,18.307630160000002,167936,1132.69,306,82,0.28228583666495977,0.013481725,0.176953125,-3.739046709984541,810,0.0003,0.2,0.12497679889202118,-0.01111833417089656,0.614774227142334,0.8726028650999069
548,21.628623170000004,169984,1146.72,310,83,22.128974088281392,0.0067771887,0.054736328125,-3.710255165398121,820,0.0003,0.2,4.072219371795654,-0.004939688323065639,0.615435004234314,0.8426613211631775
548,22.631074350000002,172032,1130.3,313,84,1.3348152719438076,0.011357731,0.113720703125,-3.7244499169290064,830,0.0003,0.2,0.34484732151031494,-0.008050857621128671,0.6193691492080688,0.28046971559524536
548,28.20734481,174080,1147.95,317,85,8.721383109688759,0.009534642,0.071923828125,-3.729146184772253,840,0.0003,0.2,2.1337876319885254,-0.009992330212844536,0.6178107261657715,0.9097059071063995
547,30.9103625,176128,1147.95,321,86,11.127618879824876,0.01284076,0.123291015625,-3.7221879191696643,850,0.0003,0.2,2.329949140548706,-0.010384415002772585,0.6172942519187927,0.9286739528179169
547,34.43878306,178176,1163.01,325,87,0.71122120404616,0.016479122,0.18271484375,-3.699001158028841,860,0.0003,0.2,0.3161305785179138,-0.009689023450482637,0.6092076301574707,0.19088643789291382
547,37.77938442000001,180224,1178.48,329,88,9.035150975268333,0.012567028,0.1255859375,-3.6727942928671835,870,0.0003,0.2,0.2931303083896637,-0.004710479424102232,0.6094857454299927,0.7079075574874878
547,44.09943520000001,182272,1193.07,332,89,0.4079957947600633,0.015955303,0.172705078125,-3.672594330459833,880,0.0003,0.2,0.12087389081716537,-0.007397127372678369,0.6103267073631287,0.7984198927879333
548,47.33239497,184320,1183.74,336,90,0.3255761455278844,0.017104862,0.180712890625,-3.648295336961746,890,0.0003,0.2,0.136098250746727,-0.013970576078281737,0.6034437417984009,0.8554396629333496
548,50.43890408,186368,1172.96,339,91,5.71283186590299,0.011120271,0.12861328125,-3.637366832047701,900,0.0003,0.2,0.4983365535736084,-0.009610823009279557,0.6059660911560059,0.8909687995910645
548,52.94999248,188416,1172.96,343,92,10.29824741128832,0.014527553,0.139404296875,-3.654344405978918,910,0.0003,0.2,0.43662145733833313,-0.008187919709598646,0.6076309680938721,0.914090171456337
548,55.52171453999999,190464,1172.96,346,93,0.5001503848470747,0.012724948,0.160400390625,-3.6346674114465714,920,0.0003,0.2,0.252153217792511,-0.006688787855091504,0.6012533903121948,0.6970339715480804
549,58.379023399999994,192512,1182.14,350,94,0.39976804959587753,0.016118951,0.164013671875,-3.5680914252996443,930,0.0003,0.2,0.14027255773544312,-0.01434393580420874,0.5901815891265869,0.8620956838130951
549,61.06926358999999,194560,1181.05,354,95,22.51659156270325,0.007502093,0.05537109375,-3.5371259443461893,940,0.0003,0.2,0.8743924498558044,-0.005956305787549354,0.5906646251678467,0.8952660113573074
549,62.90881632,196608,1166.11,357,96,1.7530670889653266,0.015001609,0.1310546875,-3.5212852858006953,950,0.0003,0.2,0.24569781124591827,-0.009273179929004982,0.585388720035553,0.5327339470386505
549,65.42526374,198656,1156.03,361,97,8.670057524740695,0.012486146,0.130859375,-3.4992135845124723,960,0.0003,0.2,0.2522090673446655,-0.007493679560138844,0.5847600698471069,0.8939837291836739
549,71.51879395,200704,1170.62,365,98,21.42515231408179,0.008640539,0.083544921875,-3.493940540403128,970,0.0003,0.2,8.029630661010742,-0.008933599246665836,0.5839858055114746,0.8808030933141708
548,75.51238739,202752,1183.83,369,99,7.990557487681508,0.010432223,0.106396484375,-3.4890721760690213,980,0.0003,0.2,2.7186086177825928,-0.0071145385736599565,0.5833730697631836,-0.07435750961303711
549,77.70980028,204800,1183.68,373,100,32.445832625404,0.008620422,0.110986328125,-3.4871616676449775,990,0.0003,0.2,2.6363914012908936,-0.009062511930824257,0.5836589336395264,0.8268049955368042
549,79.85260618,206848,1172.82,376,101,4.877631694637239,0.011992482,0.1529296875,-3.4787945300340652,1000,0.0003,0.2,1.4169986248016357,-0.007643313583685085,0.5811524391174316,0.14188623428344727
549,82.20493907,208896,1172.19,380,102,16.398571288585664,0.009854553,0.093408203125,-3.4727110788226128,1010,0.0003,0.2,1.654364824295044,-0.00821103609923739,0.5825329422950745,0.7494199872016907
548,84.83943135,210944,1166.47,384,103,5.46320149898529,0.0149815045,0.188330078125,-3.4759125731885434,1020,0.0003,0.2,1.8414305448532104,-0.00786982212739531,0.5804500579833984,0.295251727104187
548,86.67940369,212992,1166.34,388,104,7.481263848207891,0.014602296,0.14853515625,-3.4759146943688393,1030,0.0003,0.2,10.056636810302734,-0.008843643922591581,0.5827574729919434,0.9264074340462685
548,85.50182552,215040,1149.67,391,105,1.7678374762646853,0.02184324,0.215234375,-3.488619505614042,1040,0.0003,0.2,0.46816718578338623,-0.004368753480957821,0.5834592580795288,0.541953980922699
548,92.15706288999998,217088,1172.16,395,106,16.319356299191714,0.010165652,0.11787109375,-3.4901020735502244,1050,0.0003,0.2,5.308210849761963,-0.009541199778323062,0.5844694972038269,0.9457942321896553
549,90.62842058999999,219136,1152.95,399,107,20.38756424449384,0.011739881,0.123828125,-3.4966897815465927,1060,0.0003,0.2,8.9788236618042,-0.009189850062830374,0.5862573981285095,0.8672303110361099
548,93.64924278999999,221184,1156.56,403,108,36.224751225858924,0.0065925606,0.07314453125,-3.5031280390918256,1070,0.0003,0.2,5.514513969421387,-0.009994957939488814,0.5866916179656982,0.8653568476438522
548,93.99806497,223232,1140.42,407,109,4.7338872596621515,0.012925782,0.172900390625,-3.5317047223448754,1080,0.0003,0.2,3.52433705329895,-0.01015860087936744,0.5954676866531372,0.6635393798351288
548,95.41886901999999,225280,1139.58,410,110,34.386081831157206,0.011663635,0.12255859375,-3.562094634026289,1090,0.0003,0.2,4.49388313293457,-0.012531729266629554,0.5952215194702148,0.8362684547901154
548,96.46627761000002,227328,1129.8,414,111,1.6682902982458472,0.01805368,0.23779296875,-3.5889197953045366,1100,0.0003,0.2,0.308922678232193,-0.006313633726676926,0.6012932062149048,0.22945237159729004
548,97.70834656000002,229376,1129.52,418,112,3.7576254419982433,0.013810277,0.144189453125,-3.5891019932925703,1110,0.0003,0.2,0.3065705895423889,-0.008835746080148966,0.5981228351593018,0.8816585540771484
548,99.85285765,231424,1128.89,422,113,1.5272813130170106,0.019085113,0.2357421875,-3.567565094679594,1120,0.0003,0.2,0.2904592454433441,-0.009140346050844527,0.5959422588348389,0.4803977608680725
